text,notes
"calm and soothing melody, slow tempo",64:0.21428571428571427 66:0.8571428571428571 65:0.6428571428571428 65:0.6428571428571428 65:0.42857142857142855 64:0.21428571428571427 70:0.21428571428571427 62:0.42857142857142855 63:0.6428571428571428 67:0.21428571428571427 59:0.21428571428571427 58:0.8571428571428571 69:0.21428571428571427 67:0.42857142857142855 60:0.21428571428571427 60:0.42857142857142855 63:0.21428571428571427 60:0.8571428571428571 66:0.21428571428571427 65:0.21428571428571427 66:0.21428571428571427 64:0.42857142857142855 55:0.6428571428571428 61:0.42857142857142855 66:0.6428571428571428 68:0.21428571428571427 64:0.21428571428571427 65:0.42857142857142855 61:0.8571428571428571 67:0.21428571428571427 66:0.42857142857142855 62:0.6428571428571428 58:0.8571428571428571 60:0.8571428571428571 68:0.8571428571428571 56:0.8571428571428571 57:0.8571428571428571 60:0.8571428571428571 61:0.6428571428571428 57:0.6428571428571428 66:0.6428571428571428 60:0.42857142857142855 67:0.6428571428571428 67:0.6428571428571428 62:0.8571428571428571 65:0.8571428571428571
"soft, serene, relaxing tune, gentle pace",62:1.5 64:1.125 66:0.375 62:1.125 59:1.125 61:0.75 58:1.125 66:0.375 59:1.5 66:1.5 65:0.75 63:1.125 56:1.125 62:1.5 59:1.5 66:1.5 65:1.125 69:0.75 63:1.125 65:1.125 62:1.125 64:1.125 60:0.75 60:1.125 57:0.375 57:1.5
"peaceful and tranquil ambient music, slow and quiet",64:0.5 59:0.25 65:0.5 56:1.0 68:1.0 59:0.75 59:0.75 55:0.5 68:1.0 60:0.25 62:0.75 66:0.25 66:1.0 63:0.5 70:1.0 70:1.0 64:0.5 60:1.0 63:0.75 68:1.0 63:0.75 63:0.25 70:1.0 59:0.5 62:0.5 65:0.25 59:0.5 69:0.75 64:1.0 62:0.25 68:1.0 69:0.25 61:0.75 64:1.0 62:1.0 60:0.75 56:0.25 64:0.25 60:0.75 64:0.25
meditative slow moving sound,63:0.5 63:2.0 59:1.0 69:2.0 55:1.0 68:2.0 65:1.5 70:0.5 63:1.5 64:0.5 65:1.5 64:1.0 61:2.0 70:2.0 59:2.0 60:0.5 63:0.5 64:1.5 63:1.5 67:0.5
"gentle flowing music, light and airy",62:0.6 65:0.6 67:1.2 65:0.8999999999999999 59:0.8999999999999999 60:0.3 57:0.8999999999999999 60:0.6 64:0.6 70:1.2 64:0.3 57:1.2 59:0.6 69:0.8999999999999999 65:0.3 66:0.6 57:0.3 55:0.8999999999999999 62:0.8999999999999999 58:1.2 64:0.3 69:0.6 65:0.8999999999999999 65:0.6 56:0.8999999999999999 68:0.8999999999999999 61:0.6 58:0.8999999999999999 71:0.8999999999999999 66:0.3 61:0.6 61:0.3 59:0.6
"bright, cheerful, upbeat tune, moderate tempo",64:0.8999999999999999 67:0.6 71:1.2 74:0.6 63:0.6 76:0.8999999999999999 74:0.6 77:0.3 75:0.6 67:0.3 69:0.8999999999999999 66:1.2 74:1.2 73:0.6 79:1.2 76:0.8999999999999999 77:0.3 77:0.6 72:0.3 69:0.6 70:0.8999999999999999 66:1.2 74:0.6 72:0.6 76:0.3 74:0.3 70:0.3 69:0.3 70:0.8999999999999999 71:0.6 70:1.2 65:0.8999999999999999 68:0.3
"joyful and lively rhythm, energetic",73:1.0 70:0.5 72:0.5 75:1.0 73:1.0 64:1.0 71:1.5 71:2.0 67:1.5 70:1.0 68:1.0 65:1.0 74:0.5 71:1.0 72:0.5 74:1.0 65:1.5 72:1.5 71:0.5 67:1.5
"bouncy and playful melody, fast rhythm",68:0.42857142857142855 74:0.21428571428571427 77:0.21428571428571427 63:0.8571428571428571 67:0.6428571428571428 71:0.8571428571428571 76:0.42857142857142855 75:0.21428571428571427 67:0.42857142857142855 67:0.6428571428571428 70:0.42857142857142855 67:0.42857142857142855 72:0.42857142857142855 73:0.42857142857142855 71:0.21428571428571427 71:0.6428571428571428 70:0.21428571428571427 67:0.8571428571428571 74:0.21428571428571427 66:0.21428571428571427 76:0.8571428571428571 64:0.6428571428571428 70:0.21428571428571427 71:0.21428571428571427 73:0.21428571428571427 70:0.6428571428571428 79:0.21428571428571427 67:0.21428571428571427 73:0.42857142857142855 64:0.42857142857142855 73:0.6428571428571428 70:0.6428571428571428 66:0.8571428571428571 69:0.6428571428571428 71:0.42857142857142855 74:0.8571428571428571 74:0.6428571428571428 70:0.21428571428571427 62:0.8571428571428571 75:0.8571428571428571 62:0.21428571428571427 69:0.42857142857142855 76:0.21428571428571427 75:0.21428571428571427 75:0.21428571428571427 69:0.42857142857142855
upbeat and energetic sound,79:1.0 69:0.25 73:0.5 77:0.25 71:0.5 73:0.25 74:1.0 69:0.75 71:0.25 67:1.0 67:1.0 69:0.25 79:0.25 67:1.0 77:1.0 72:0.75 70:0.75 70:0.25 75:0.5 70:0.25 71:0.75 67:0.25 66:0.25 75:0.75 70:0.5 75:1.0 71:0.25 63:0.75 71:1.0 70:0.75 64:0.75 69:0.25 70:1.0 69:0.75 71:0.75 76:0.75 62:1.0 69:0.75 67:0.5 75:1.0
happy light hearted tune,69:0.8571428571428571 68:0.21428571428571427 68:0.21428571428571427 74:0.21428571428571427 64:0.6428571428571428 74:0.42857142857142855 75:0.21428571428571427 79:0.42857142857142855 62:0.6428571428571428 76:0.42857142857142855 66:0.42857142857142855 74:0.6428571428571428 69:0.6428571428571428 73:0.6428571428571428 79:0.42857142857142855 66:0.6428571428571428 73:0.6428571428571428 67:0.8571428571428571 75:0.42857142857142855 77:0.21428571428571427 67:0.8571428571428571 71:0.42857142857142855 64:0.6428571428571428 67:0.6428571428571428 65:0.42857142857142855 67:0.6428571428571428 76:0.42857142857142855 64:0.8571428571428571 79:0.6428571428571428 72:0.8571428571428571 69:0.6428571428571428 76:0.42857142857142855 77:0.42857142857142855 72:0.6428571428571428 73:0.6428571428571428 69:0.42857142857142855 65:0.6428571428571428 69:0.21428571428571427 69:0.21428571428571427 63:0.21428571428571427 67:0.21428571428571427 68:0.42857142857142855 74:0.8571428571428571 69:0.8571428571428571 69:0.42857142857142855 74:0.21428571428571427
